book,exxon,ge,gold,ibm,wmart,msoft,riskfree,size,sp500,tbill,dates
-2.43,2.41,0.62,374.2925,10.94,5.26,0.8,0.006475,-0.42,330.8,0.0777,1990m4
-3.62,2.7,0.72,369.05341,12.6,5.98,1,0.00645,-2.49,361.23,0.0774,1990m5
-2.18,2.69,0.72,352.1869,12.34,6.68,1.04,0.00644167,1.39,358.02,0.0773,1990m6
-0.07,2.92,0.75,362.84643,11.71,6.71,0.91,0.00635,-3.2,356.15,0.0762,1990m7
1.48,2.94,0.65,395.46667,11.2,6.13,0.84,0.00620833,-3.53,322.56,0.0745,1990m8
0.65,2.88,0.63,388.81944,11.7,5.86,0.86,0.00613333,-3.64,306.05,0.0736,1990m9
0.24,2.88,0.6,380.39348,11.6,5.76,0.88,0.005975,-5.51,304,0.0717,1990m10
-2.92,3.15,0.64,381.73068,13.08,6.48,0.99,0.00588333,0.26,322.22,0.0706,1990m11
-1.51,3.22,0.75,377.68889,13.01,6.54,1.03,0.00561667,0.77,330.22,0.0674,1990m12
-1.68,3.21,0.84,383.04091,14.59,7.13,1.35,0.00518333,3.81,343.93,0.0622,1991m1
-0.61,3.62,0.98,363.89,15.41,7.65,1.42,0.00495,3.88,367.07,0.0594,1991m2
-1.18,3.84,1,363.23333,13.63,8.41,1.46,0.004925,3.92,375.22,0.0591,1991m3
1.4,3.9,1.02,358.36667,12.33,8.79,1.36,0.00470833,0.53,375.35,0.0565,1991m4
-0.6,4,1.21,356.96818,13.32,9.31,1.51,0.00455,-0.36,389.83,0.0546,1991m5
1.23,3.99,1.16,366.865,12.19,9.32,1.4,0.00464167,0.07,371.16,0.0557,1991m6
-1.25,4.08,1.14,367.56522,12.71,10.38,1.51,0.00465,-0.96,387.81,0.0558,1991m7
-0.77,4.19,1.17,355.87614,12.77,11.07,1.76,0.00444167,1.6,395.43,0.0533,1991m8
-1.01,4.28,1.19,348.87857,13.66,10.44,1.83,0.00435,1.67,387.86,0.0522,1991m9
-0.41,4.39,1.18,358.76957,12.95,10.12,1.93,0.00415833,0.82,392.46,0.0499,1991m10
-1.76,4.41,1.11,360.41905,12.83,10.69,2,0.0038,-0.54,375.22,0.0456,1991m11
-3.94,4.58,1.46,361.07763,12.34,12.92,2.29,0.00339167,-2.3,417.09,0.0407,1991m12
4.62,4.38,1.43,354.57273,12.48,11.82,2.48,0.00316667,8.41,408.79,0.038,1992m1
6.36,4.5,1.5,353.73289,12.72,11.85,2.54,0.0032,0.83,412.7,0.0384,1992m2
3.69,4.31,1.57,344.19886,12.23,11.73,2.44,0.00336667,-1.08,403.69,0.0404,1992m3
4.36,4.73,1.59,338.34286,13.29,11.51,2.27,0.003125,-6.05,414.95,0.0375,1992m4
1.18,5.02,1.58,337.21125,14.02,11.68,2.49,0.003025,0.43,415.35,0.0363,1992m5
3.3,5.12,1.77,340.95682,15.12,11.89,2.16,0.00305,-3.05,408.14,0.0366,1992m6
-0.55,5.26,1.74,353.28636,14.63,12.36,2.25,0.002675,-0.39,424.21,0.0321,1992m7
-1.01,5.57,1.68,342.66548,14.12,12.64,2.3,0.00260833,-0.07,414.03,0.0313,1992m8
-0.21,5.54,1.95,345.70833,13.17,13.13,2.49,0.002425,0.57,417.8,0.0291,1992m9
-2,5.31,1.91,344.17386,10.9,13.51,2.74,0.00238333,2.09,418.68,0.0286,1992m10
-1.55,5.42,2.08,334.92125,11.98,14.29,2.88,0.00260833,3.58,431.35,0.0313,1992m11
2.52,5.57,2.34,334.80676,8.84,14.25,2.64,0.00268333,1.64,435.71,0.0322,1992m12
5.8,5.57,2.36,329.0475,9.04,14.5,2.67,0.0025,2,438.78,0.03,1993m1
6.47,6.07,2.31,329.31447,9.96,14.48,2.57,0.00244167,-3.36,443.38,0.0293,1993m2
1.32,6.31,2.68,330.24891,9.32,14.17,2.86,0.00245833,0.32,451.67,0.0295,1993m3
2.69,6.3,2.73,341.89342,8.91,11.94,2.64,0.00239167,-0.62,440.19,0.0287,1993m4
-3.41,6.54,2.79,367.73684,10.11,12.44,2.86,0.00246667,2,450.19,0.0296,1993m5
2.56,6.6,3.13,371.92841,9.46,11.74,2.72,0.00255833,-0.31,450.53,0.0307,1993m6
3.24,6.55,3.22,392.79318,8.53,11.35,2.29,0.00253333,0.96,448.13,0.0304,1993m7
-0.37,6.83,3.21,377.96786,8.97,11.55,2.32,0.00251667,0.28,463.56,0.0302,1993m8
-0.42,6.85,3.4,354.93068,8.23,11.04,2.55,0.00245833,3.11,458.93,0.0295,1993m9
-1.63,6.83,3.44,364.39881,9.02,11.83,2.47,0.00251667,1.45,467.83,0.0302,1993m10
-0.41,6.86,3.48,374.05114,10.78,12.86,2.47,0.00258333,-1.52,461.79,0.031,1993m11
0.6,6.91,4.04,383.62703,11.3,11.24,2.49,0.00255,1.25,466.45,0.0306,1993m12
2.1,7.27,4.15,386.56375,11.3,11.91,2.63,0.00248333,0.09,481.61,0.0298,1994m1
-1.4,7.41,4.06,381.89875,10.77,12.75,2.55,0.00270833,2.71,467.14,0.0325,1994m2
1.3,7.19,4.2,384.07727,11.12,11.66,2.62,0.00291667,-0.89,445.77,0.035,1994m3
1.68,7.19,4,377.29324,11.71,11.38,2.86,0.00306667,-0.85,450.91,0.0368,1994m4
0.13,7.32,4.18,381.5425,13.06,10.59,3.32,0.00345,-2.02,456.5,0.0414,1994m5
1.75,6.8,4.1,385.60455,12.17,10.97,3.19,0.00345,-0.46,444.27,0.0414,1994m6
0.95,7.13,4.43,385.47262,12.82,11.31,3.18,0.00360833,-1.79,458.26,0.0433,1994m7
-3.5,7.49,4.38,380.40341,14.42,11.18,3.59,0.00373333,1.42,475.49,0.0448,1994m8
-1.79,7.24,4.43,391.7375,14.66,10.61,3.47,0.00385,2.7,462.69,0.0462,1994m9
-2.37,7.91,4.5,389.56548,15.69,10.67,3.89,0.004125,-2.17,472.35,0.0495,1994m10
-0.05,7.99,4.24,384.28864,15.1,10.59,3.88,0.00440833,-0.17,453.69,0.0529,1994m11
0.2,8.04,4.94,379.26286,15.69,9.68,3.78,0.00466667,0.04,459.27,0.056,1994m12
1.73,8.27,4.98,378.43929,15.4,10.42,3.67,0.00475833,-2.95,470.42,0.0571,1995m1
0.39,8.88,5.3,376.62625,16.28,10.82,3.89,0.00480833,-0.31,487.39,0.0577,1995m2
-2.04,9.26,5.47,382.48043,17.77,11.72,4.39,0.004775,-0.31,500.71,0.0573,1995m3
1.76,9.66,5.68,390.88889,20.47,10.86,5.05,0.00470833,-0.38,514.71,0.0565,1995m4
1.95,10.35,5.88,385.03571,20.34,11.38,5.23,0.004725,-2.2,533.4,0.0567,1995m5
-2.98,10.24,5.98,387.58182,20.99,12.28,5.58,0.00455833,3.06,544.75,0.0547,1995m6
-2.21,10.52,6.25,386.19405,23.81,12.22,5.59,0.00451667,2.17,562.06,0.0542,1995m7
1.85,10.41,6.24,383.78295,22.82,11.3,5.71,0.0045,1.83,561.88,0.054,1995m8
-0.91,10.94,7.03,383.09643,20.86,11.41,5.59,0.0044,-2.02,584.41,0.0528,1995m9
-0.06,11.57,6.97,383.25227,21.46,9.97,6.18,0.0044,-3.97,581.5,0.0528,1995m10
0.39,12.2,7.4,385.19205,21.54,11.11,5.38,0.00446667,-0.85,605.37,0.0536,1995m11
1.38,12.79,8.25,387.34848,20.37,10.3,5.42,0.00428333,0.41,615.93,0.0514,1995m12
0.31,12.65,8.8,400.48537,24.19,9.43,5.71,0.00416667,-2.46,636.02,0.05,1996m1
-2.22,13.01,8.65,404.53214,27.58,9.84,6.1,0.004025,2.06,640.43,0.0483,1996m2
1.27,13.34,9.26,396.14881,25.02,10.69,6.37,0.00413333,1.3,645.5,0.0496,1996m3
-3.96,13.91,9.18,392.785,24.24,11.1,7,0.004125,4.88,654.17,0.0495,1996m4
-1.37,14.42,9.84,391.96176,24.33,12.03,7.34,0.00418333,3.22,669.12,0.0502,1996m5
1.95,14.78,10.31,385.04375,22.57,11.84,7.42,0.00424167,-3.65,670.63,0.0509,1996m6
4.38,13.99,10.1,383.57609,24.5,11.2,7.28,0.00429167,-3.58,639.95,0.0515,1996m7
-0.59,14.42,10.21,387.4619,26.41,12.36,7.57,0.00420833,2.3,651.99,0.0505,1996m8
-3.8,14.72,11.52,382.9,28.75,12.36,8.15,0.00424167,-0.79,687.31,0.0509,1996m9
4.84,15.67,12.25,381.04432,29.79,12.42,8.48,0.00415833,-4.09,705.27,0.0499,1996m10
0.21,17.31,13.17,377.6869,37.2,11.95,9.69,0.00419167,-3.55,757.02,0.0503,1996m11
0.94,17.97,12.91,368.94714,35.36,10.71,10.21,0.00409167,3.13,740.74,0.0491,1996m12
-2.31,19.01,13.51,353.87073,36.62,11.18,12.6,0.00419167,-1.49,786.16,0.0503,1997m1
4.76,18.97,13.43,347.02875,33.87,12.41,12.05,0.004175,-2.54,790.82,0.0501,1997m2
3.89,20.39,13.36,351.48816,32.34,13.18,11.33,0.00428333,-0.33,757.12,0.0514,1997m3
-1.03,21.43,14.94,344.22841,37.82,13.3,15.01,0.0043,-5.14,801.34,0.0516,1997m4
-4.37,22.74,16.26,344.09079,40.76,14.12,15.32,0.00420833,4.8,848.28,0.0505,1997m5
0.69,23.51,17.5,340.51429,42.53,16.05,15.61,0.00410833,1.52,885.14,0.0493,1997m6
-0.41,24.66,19.1,323.89565,49.83,17.81,17.47,0.00420833,-2.45,954.29,0.0505,1997m7
1.01,23.8,17.04,324.02,47.95,16.86,16.33,0.00428333,7.49,899.47,0.0514,1997m8
-0.27,24.92,18.76,323.11023,50.14,17.45,16.35,0.004125,2.68,947.28,0.0495,1997m9
2.3,23.9,17.81,324.36413,46.59,16.68,16.06,0.00414167,-0.85,914.62,0.0497,1997m10
1.03,24.05,20.36,305.55125,52,19.09,17.48,0.00428333,-5,955.4,0.0514,1997m11
3.83,24.13,20.48,288.59054,49.68,18.86,15.97,0.0043,-2.34,970.43,0.0516,1997m12
-1.79,23.39,21.64,289.15,46.89,19.03,18.43,0.0042,-1.01,980.28,0.0504,1998m1
-0.69,25.47,21.71,297.4925,49.79,22.14,20.94,0.00424167,0.23,1049.34,0.0509,1998m2
1.65,27.02,24.35,295.94091,49.52,24.37,22.11,0.00419167,-1.2,1101.75,0.0503,1998m3
0.33,29.19,24.07,308.285,55.24,24.25,22.27,0.004125,0.43,1111.75,0.0495,1998m4
4.32,28.49,23.55,299.1,56.23,26.44,20.95,0.00416667,-3.55,1090.82,0.05,1998m5
-1.81,28.84,25.67,292.31818,54.94,29.21,26.78,0.00415,-3.23,1133.84,0.0498,1998m6
-1.15,28.39,25.52,292.87174,63.41,30.36,27.16,0.00413333,-4.93,1120.67,0.0496,1998m7
5.15,26.77,22.83,284.11,54.08,28.37,23.7,0.00408333,-5.71,957.28,0.049,1998m8
-3.89,28.89,22.95,288.98182,61.71,26.34,27.19,0.00384167,-0.18,1017.01,0.0461,1998m9
-2.67,29.3,25.24,295.92727,71.31,33.29,26.16,0.0033,-3.21,1098.67,0.0396,1998m10
-3.3,31.03,26.07,294.16905,79.53,36.3,30.14,0.003675,1.18,1163.63,0.0441,1998m11
-4.88,30.25,29.73,291.67895,88.8,39.34,34.27,0.00365833,-0.35,1229.23,0.0439,1998m12
-5.45,29.06,30.57,287.0725,88.26,41.54,43.24,0.00361667,0.68,1279.64,0.0434,1999m1
1.75,27.85,29.24,287.3275,81.97,41.6,37.09,0.0037,-5.75,1238.33,0.0444,1999m2
-2.89,29.53,32.59,285.96087,85.59,44.63,44.29,0.0037,-3.88,1286.37,0.0444,1999m3
2.43,34.76,31.04,282.6175,101.02,44.53,40.18,0.003575,3.31,1335.18,0.0429,1999m4
2.64,33.76,29.96,276.44211,112.29,41.27,39.87,0.00375,3.7,1301.84,0.045,1999m5
-4.22,32.6,33.29,261.31364,125.11,46.77,44.57,0.00380833,3.35,1372.71,0.0457,1999m6
0.58,33.55,32.41,256.07955,121.67,40.95,42.4,0.00379167,2.19,1328.72,0.0455,1999m7
-0.93,33.68,33.4,256.69286,120.69,42.95,45.74,0.00393333,-1.25,1320.41,0.0472,1999m8
-3.12,32.45,35.57,264.74318,117.24,46.15,44.75,0.0039,3.3,1282.71,0.0468,1999m9
-3.29,31.62,40.65,310.71905,95.2,54.64,45.74,0.00405,-6.75,1362.93,0.0486,1999m10
-7.87,34.27,39.04,293.18409,99.99,55.92,44.99,0.004225,7.64,1388.91,0.0507,1999m11
-8.98,34.81,46.79,283.06842,104.66,67.12,57.69,0.00433333,6.82,1469.25,0.052,1999m12
0.09,35.81,40.51,284.315,108.91,53.16,48.36,0.00443333,4.41,1394.46,0.0532,2000m1
-12.37,32.91,40.02,299.86429,99.8,47.34,44.16,0.004625,21.99,1366.42,0.0555,2000m2
8.04,34.08,47.47,286.38913,114.97,54.93,52.5,0.00474167,-16.85,1498.58,0.0569,2000m3
9.19,33.95,47.97,279.69444,108.29,53.84,34.47,0.00471667,-7.49,1452.43,0.0566,2000m4
4,36.8,48.16,275.18571,104.35,56.03,30.91,0.004825,-4.89,1420.6,0.0579,2000m5
-9.77,34.68,48.5,285.73182,106.54,56.09,39.53,0.00474167,13.8,1454.6,0.0569,2000m6
8.36,35.42,47.43,281.58571,109.15,53.78,34.5,0.00496667,-2.76,1430.83,0.0596,2000m7
-1.32,36.46,53.8,274.46818,128.52,46.36,34.5,0.005075,-0.96,1517.68,0.0609,2000m8
6.89,39.8,53.17,273.67857,109.64,46.9,29.8,0.005,-1.83,1436.51,0.06,2000m9
4.92,39.83,50.41,269.99773,95.89,44.22,34.03,0.00509167,-3.68,1429.4,0.0611,2000m10
12.42,39.68,45.58,266.00682,91.14,50.85,28.35,0.00514167,-3.12,1314.95,0.0617,2000m11
6.21,39.21,44.23,271.45,82.85,51.83,21.44,0.00480833,1.45,1320.28,0.0577,2000m12
